IEDB field	Example values	NDE field suggestion	Notes
References.Reference.Article.Authors.Author.FirstName	Katherine	citation.author.givenName	Create a typed Person object.
References.Reference.Article.Authors.Author.MiddleName	J	citation.author.givenName	Combine with FirstName when present.
References.Reference.Article.Authors.Author.ForeName	Katherine	citation.author.givenName	Use as a fallback when FirstName is absent.
References.Reference.Article.Authors.Author.LastName	Kedzierska	citation.author.familyName	Create a typed Person object.
References.Reference.Article.Authors.Author.Initials	K	citation.author.name fallback	Use only when fuller name parts are unavailable.
References.Reference.Article.Authors.Author.Suffix	Jr	citation.author.name	Append to the rendered name when present.
References.Reference.Article.Authors.Author.CollectiveName	IEDB Curation Team Members	citation.author.name	Create a typed Organization rather than a Person.
References.Reference.Article.Affiliations	Department of Microbiology and Immunology, University of Melbourne...	No first-pass mapping	The source supplies one flat affiliation string and does not reliably associate it with individual authors. Do not invent author-affiliation relationships.
References.Reference.Article.ArticleChemicalList	DNA Primers; Immunodominant Epitopes	Processing only	Possible keyword enrichment after review; do not emit the compound source string directly.
References.Reference.Article.ArticleMeshHeadingsList	Amino Acid Sequence; Animals; Influenza A virus	Processing only	Possible topic or condition enrichment after parsing; do not emit raw compound strings as ontology terms.
References.Reference.Article.Comments	Curator or article comments	citation.description	Use only when non-empty and not duplicative of the abstract.
References.Reference.Article.Journal.Volume	101	citation.volumeNumber	Preserve as text.
References.Reference.Article.Journal.Issue	14	citation.issueNumber	Preserve as text.
References.Reference.Article.Journal.Title	Proceedings of the National Academy of Sciences of the United States of America	citation.journalName	Preserve full title.
References.Reference.Article.Journal.MedlineTa	Proc Natl Acad Sci U S A	citation.journalNameAbbrev	Preserve the supplied abbreviation.
References.Reference.Article.Journal.Issn	0027-8424	No first-pass mapping	The current NDE citation mapping has no reviewed ISSN property.
References.Reference.Submission.SubmitterName	John Sidney	isBasedOn or exampleOfWork.additionalProperty	Direct submissions are provenance works, not journal-article citations. A stable submission representation needs review.
References.Reference.Submission.Authors.Author.*	John Sidney	isBasedOn author after review	Create typed authors only after the submission CreativeWork representation is settled.
References.Reference.Submission.Affiliations	La Jolla Institute for Allergy and Immunology...	isBasedOn description after review	Do not infer per-author affiliations.
References.Reference.Submission.SubmissionTitle	Large-scale SARS epitope submission	isBasedOn.name after review	Represent as a typed CreativeWork when a stable submission policy is adopted.
References.Reference.Submission.Abstract	This work was supported...	isBasedOn.description after review	Preserve as plain text.
References.Reference.Submission.SubmissionDate	2006-02-23-08:00	isBasedOn.datePublished after review	Normalize to an ISO date.
			
EPITOPE MEMBER FIELDS			
References.Reference.Epitopes.Epitope.EpitopeId	50166	hasPart.identifier; hasPart.url; collectionSize	Generate IEDB_EPITOPE:{EpitopeId} and https://www.iedb.org/epitope/{EpitopeId}. Deduplicate by EpitopeId within the Epitopes collection for the exact organism node.
References.Reference.Epitopes.Epitope.EpitopeName	3011.0648	hasPart.name	Fall back to a linear sequence or generated "IEDB epitope {id}" label when empty.
References.Reference.Epitopes.Epitope.LocationOfData	Figure 1	exampleOfWork.additionalProperty	Retain only for the deterministic representative member.
References.Reference.Epitopes.Epitope.ReferenceStartingPosition	493	exampleOfWork.additionalProperty	Retain only for the representative member.
References.Reference.Epitopes.Epitope.ReferenceEndingPosition	501	exampleOfWork.additionalProperty	Retain only for the representative member.
References.Reference.Epitopes.Epitope.ReferenceRegion	RBD	exampleOfWork.additionalProperty	Retain only for the representative member.
References.Reference.Epitopes.Epitope.EpitopeEvidenceCode	Not determined	exampleOfWork.additionalProperty	Preserve the source value.
References.Reference.Epitopes.Epitope.EpitopeStructureDefines	Exact Epitope	keywords; exampleOfWork.additionalProperty	Only promote a bounded set of unique structure-definition labels to keywords.
References.Reference.Epitopes.Epitope.EpitopeComments	The epitope residues were determined from a cited publication.	exampleOfWork.additionalProperty	Representative member only.
References.Reference.Epitopes.Epitope.EpitopeRelatedObject.RelatedObjectType	Antigenic site	exampleOfWork.additionalProperty	Do not use related-object sources as the primary collection key without review.
References.Reference.Epitopes.Epitope.EpitopeStructure.{ObjectType choice name}	FragmentOfANaturalSequenceMolecule	hasPart.additionalType; exampleOfWork.additionalProperty	Use the specific structure variant to describe the member type.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.ChemicalType	Peptide from protein	keywords; exampleOfWork.additionalProperty	Promote only bounded unique chemical types to keywords.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.SubType	Organism; Cell; Protein	hasPart.additionalType; exampleOfWork.additionalProperty	Preserve the specific source subtype when supplied.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.LinearSequence	PYRVVVLSF	hasPart.name fallback; exampleOfWork.additionalProperty	Do not put every sequence in top-level keywords.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.PeptideLinearSequence	ASNENMETM	hasPart.name fallback; exampleOfWork.additionalProperty	Used by spliced-fragment structures.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.PeptideSequence	ASNENMETM	hasPart.name fallback; exampleOfWork.additionalProperty	Used by complex and recombinant structures.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.DiscontinuousResidues	Y356, N357, S358, T359	exampleOfWork.additionalProperty	Representative member only.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.ModifiedResidues	M3	exampleOfWork.additionalProperty	Representative member only.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.MutatedResidues	A5V	exampleOfWork.additionalProperty	Representative member only.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.Modifications	Phosphorylation	exampleOfWork.additionalProperty	Representative member only.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.StartingPosition	493	exampleOfWork.additionalProperty	Pair with EndingPosition.
References.Reference.Epitopes.Epitope.EpitopeStructure.*.EndingPosition	501	exampleOfWork.additionalProperty	Pair with StartingPosition.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceMolecule.GenBankId	P59594.1	exampleOfWork.additionalProperty	Normalize whether the value is a GenBank nucleotide or GenPept protein accession before generating an external URL.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceMolecule.UniProtAccession	P59594.1	exampleOfWork.additionalProperty	Preserve accession and optionally generate a UniProt URL.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceMolecule.ChEBIId	CHEBI:1234	exampleOfWork.additionalProperty	Preserve the CURIE and optionally generate a ChEBI URL.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceMolecule.IedbAccession	IEDB source molecule accession	exampleOfWork.additionalProperty	Join IedbAccessionList only when a human-readable molecule name is needed.
References.Reference.Epitopes.Epitope.ProteinMutationPosition	614	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
References.Reference.Epitopes.Epitope.ProteinMutationAminoAcid	G	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
References.Reference.Epitopes.Epitope.ProteinWildtypeAminoAcid	D	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
References.Reference.Epitopes.Epitope.DnaMutationPosition	1841	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
References.Reference.Epitopes.Epitope.DnaMutantBase	G	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
References.Reference.Epitopes.Epitope.DnaWildtypeBase	A	exampleOfWork.additionalProperty	Keep mutation fields together on the representative member.
			
ANTIGEN TAB MEMBER FIELDS			
Query API antigen_search.parent_source_antigen_id / parent_source_antigen_iri	IEDB source-antigen ID or IRI	hasPart.identifier; hasPart.url; collectionSize	Use the IRI as the primary deduplication key for Antigens-tab members. Establish and test the XML crosswalk before implementation.
Query API antigen_search.parent_source_antigen_name	Spike glycoprotein	hasPart.name; exampleOfWork.name	Use the source antigen's displayed name; fall back to its stable ID or IRI.
Query API antigen_search.parent_source_antigen_source_org_iri	NCBITaxon:227984	Membership validation	Validate that the source antigen is directly associated with the exact collection organism rather than only a taxonomic descendant.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceMolecule.{IedbAccession,GenBankId,UniProtAccession,ChEBIId}	P59594.1	Antigen-tab XML crosswalk candidate	Use these source-molecule identifiers to reconstruct Antigens-tab members only after comparison with antigen_search.parent_source_antigen_iri. Do not assume every source molecule is a parent source antigen.
References.Reference.Epitopes.Epitope.Assays.*.**.{ImmunogenObject,AntigenObject}.Object	Source Antigen	Antigen-tab XML crosswalk candidate	Follow EpitopeRelation and object-type semantics when identifying the tab's source-antigen entity.
			
ASSAY AND HOST-CONTEXT FIELDS			
References.Reference.Epitopes.Epitope.Assays.{TCell,BCell,MhcBinding,MhcLigandElution}	TCell; BCell; MhcBinding; MhcLigandElution	keywords; processing	Use the joined AssayTypeList.Category for user-facing keyword labels.
References.Reference.Epitopes.Epitope.Assays.TCell.TCellId	3339181	hasPart.identifier; hasPart.url; collectionSize; exampleOfWork.additionalProperty	In the Assays collection, generate IEDB_ASSAY:{id} and https://www.iedb.org/assay/{id}. Preserve T-cell as the member additionalType.
References.Reference.Epitopes.Epitope.Assays.BCell.BCellId	17427539	hasPart.identifier; hasPart.url; collectionSize; exampleOfWork.additionalProperty	In the Assays collection, generate IEDB_ASSAY:{id} and preserve B-cell as the member additionalType.
References.Reference.Epitopes.Epitope.Assays.MhcBinding.MhcBindingId	1026500	hasPart.identifier; hasPart.url; collectionSize; exampleOfWork.additionalProperty	In the Assays collection, generate IEDB_ASSAY:{id} and preserve MHC binding as the member additionalType.
References.Reference.Epitopes.Epitope.Assays.MhcLigandElution.MhcLigandElutionId	1234567	hasPart.identifier; hasPart.url; collectionSize; exampleOfWork.additionalProperty	In the Assays collection, generate IEDB_ASSAY:{id} and preserve MHC ligand elution as the member additionalType.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.AssayTypeId	417	measurementTechnique; variableMeasured	Join AssayTypeList. Generate one unique source-defined technique term and response term per represented AssayTypeId.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.QualitativeMeasurement	Positive-High	keywords; exampleOfWork.additionalProperty	Do not map to conditionsOfAccess or creativeWorkStatus.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.QuantitativeMeasurement	30.8	exampleOfWork.additionalProperty	Pair with the joined response, units, and MeasurementInequality.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.MeasurementInequality	<	exampleOfWork.additionalProperty	Pair with the quantitative measurement.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.NumberOfSubjectsTested	40	exampleOfWork.additionalProperty	Do not sum across assays because subjects can overlap.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.NumberOfSubjectsResponded	1	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.ResponseFrequency	2.5	exampleOfWork.additionalProperty	Preserve percent semantics.
References.Reference.Epitopes.Epitope.Assays.*.AssayInformation.AssayComments	The assay shows CD4 cells mobilized by the epitope.	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.LocationOfData	Figure 7	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.Immunization.HostOrganism.OrganismId	9606	No top-level species mapping	Host context is not the source-organism collection key. Join OrganismList for representative metadata only.
References.Reference.Epitopes.Epitope.Assays.MhcLigandElution.HostOrganism.OrganismId	9606	No top-level species mapping	Host context only.
References.Reference.Epitopes.Epitope.Assays.*.**.RecipientOrganism.OrganismId	10090	No top-level species mapping	Adoptive-transfer recipient context only.
References.Reference.Epitopes.Epitope.Assays.*.**.HostOrganism.OrganismId compared with References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceOrganismId	9606 (assay host); 2697049 (epitope/source organism)	Processing only; infectiousAgent unresolved	The export appears to expose host and source organisms through distinct paths, but field names alone do not establish which source organism is an infectious agent. Preserve the roles separately and validate representative records after the first pass.
References.Reference.Epitopes.Epitope.Assays.*.**.{HostOrganism,RecipientOrganism}.GeoLocId	http://purl.obolibrary.org/obo/GAZ_00003937	spatialCoverage	Join GeoLocList and emit unique typed AdministrativeArea objects. This describes study-host location, not the organism's natural range.
References.Reference.Epitopes.Epitope.Assays.*.**.{HostOrganism,RecipientOrganism}.Sex	F	exampleOfWork.additionalProperty	Do not emit a collection-level sex value.
References.Reference.Epitopes.Epitope.Assays.*.**.{HostOrganism,RecipientOrganism}.Age	6 weeks	exampleOfWork.additionalProperty	Preserve the free-text value.
References.Reference.Epitopes.Epitope.Assays.*.**.MhcAlleleTypesPresent.MhcAlleleId	172	exampleOfWork.additionalProperty	Join MhcAlleleNameList. Do not emit as measurementTechnique.
References.Reference.Epitopes.Epitope.Assays.*.**.{FirstInVivoProcess,SecondInVivoProcess,InVivoProcess}.DiseaseState	COVID-19	healthCondition	Emit unique non-placeholder name-only DefinedTerms and let the shared terms stage standardize them.
References.Reference.Epitopes.Epitope.Assays.*.**.{FirstInVivoProcess,SecondInVivoProcess,InVivoProcess}.DiseaseStage	Post	exampleOfWork.additionalProperty	No reviewed collection-level NDE field.
References.Reference.Epitopes.Epitope.Assays.*.**.InVivoProcessType	Occurrence of infectious disease	exampleOfWork.additionalProperty	Possible future ontology-backed technique or process term.
References.Reference.Epitopes.Epitope.Assays.*.**.{ImmunogenObject,AntigenObject}.EpitopeRelation	Epitope; Source Antigen; Taxonomic Sibling	exampleOfWork.additionalProperty	Preserve assay context without changing the primary collection membership.
References.Reference.Epitopes.Epitope.Assays.*.**.{ImmunogenObject,AntigenObject}.Object.**.SourceOrganismId	2697049	Processing only	Assay-context source organism; do not let taxonomic siblings or children replace the primary EpitopeStructure grouping key.
References.Reference.Epitopes.Epitope.Assays.*.**.Route	intramuscular	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.**.DoseSchedule	4 doses of 150ug	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.**.{EffectorCells,AntigenPresentingCells}.CellTissueType	spleen	exampleOfWork.additionalProperty	Potential future sample.anatomicalStructure only after a sample identity policy exists.
References.Reference.Epitopes.Epitope.Assays.*.**.{EffectorCells,AntigenPresentingCells}.CellType	splenocyte	exampleOfWork.additionalProperty	Potential future sample.cellType only after a sample identity policy exists.
References.Reference.Epitopes.Epitope.Assays.*.**.{EffectorCells,AntigenPresentingCells}.CellCultureConditions	Direct Ex Vivo	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.**.MhcAlleleId	172	exampleOfWork.additionalProperty	Join MhcAlleleNameList for the displayed restriction and class.
References.Reference.Epitopes.Epitope.Assays.BCell.AssayedAntibody.AssayedAntibodySourceMaterial	Serum	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.BCell.AssayedAntibody.AssayedAntibodyHeavyChainType	IgG	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.BCell.AssayedAntibody.AssayedAntibodyLightChainType	Kappa	exampleOfWork.additionalProperty	Representative epitope only.
References.Reference.Epitopes.Epitope.Assays.*.ThreeDimensionalStructureOfComplex.ComplexPdbId	6WAQ	exampleOfWork.additionalProperty	Generate an RCSB URL only after validating the identifier.
			
RECEPTOR TAB MEMBER FIELDS			
Query API tcr_search.receptor_group_id / receptor_group_iri	IEDB receptor-group ID or IRI	hasPart.identifier; hasPart.url; collectionSize	Use the receptor-group IRI as the primary TCR deduplication key. The XML crosswalk must be confirmed before implementation.
Query API bcr_search.receptor_group_id / receptor_group_iri	IEDB receptor-group ID or IRI	hasPart.identifier; hasPart.url; collectionSize	Use the receptor-group IRI as the primary BCR deduplication key. Keep TCR and BCR namespaces distinct when only numeric IDs are available.
Query API {tcr_search,bcr_search}.receptor_type	TCR; BCR	hasPart.additionalType; keywords	Preserve the receptor family on each representative member and as a bounded collection keyword.
Query API {tcr_search,bcr_search}.receptor_names	Receptor name	hasPart.name; exampleOfWork.name	Choose a stable displayed name and retain alternate names only when bounded.
Query API {tcr_search,bcr_search}.source_organism_iris	{NCBITaxon:227984}	Membership validation	Require a direct association with the exact collection organism; do not use taxonomy-parent search results as authoritative membership.
References.Reference.Epitopes.Epitope.Assays.*.** receptor fields	TCR/BCR chain and receptor identifiers	Receptor-tab XML crosswalk candidate	Locate and validate the XML receptor-group and chain paths during first-pass implementation. Do not derive distinct receptor members from names or sequences alone.
			
AUXILIARY LOOKUP FIELDS			
AssayTypeList.AssayType.AssayTypeId	417	measurementTechnique.identifier; variableMeasured.identifier	Generate source-defined identifiers IEDB_ASSAY_TYPE:{id} and IEDB_ASSAY_RESPONSE:{id}.
AssayTypeList.AssayType.Category	MHC	keywords	Normalize to bounded labels such as MHC ligand assay, T cell assay, and B cell assay.
AssayTypeList.AssayType.AssayType	purified MHC/competitive/radioactivity	measurementTechnique.name	Create a typed DefinedTerm. The auxiliary list does not supply OBI mappings.
AssayTypeList.AssayType.Response	dissociation constant KD (~IC50)	variableMeasured.name	Create a typed source-defined DefinedTerm.
AssayTypeList.AssayType.Units	nM	exampleOfWork.additionalProperty	Pair units with representative quantitative measurements.
MhcAlleleNameList.MhcAlleleName.MhcAlleleRestrictionId	172	Lookup key	Join all MhcAlleleId fields.
MhcAlleleNameList.MhcAlleleName.DisplayedRestriction	HLA-A*29:02	exampleOfWork.additionalProperty	Preserve for representative assay metadata.
MhcAlleleNameList.MhcAlleleName.Synonyms	HLA-A29:02|HLA-A*2902	exampleOfWork.additionalProperty after review	Do not promote the full synonym list to top-level keywords.
MhcAlleleNameList.MhcAlleleName.Class	I	exampleOfWork.additionalProperty	Preserve with the displayed restriction.
MhcAlleleNameList.MhcAlleleName.Locus	A	exampleOfWork.additionalProperty	Preserve with the displayed restriction.
MhcAlleleNameList.MhcAlleleName.Molecule	HLA-A*29:02	exampleOfWork.additionalProperty	Preserve with the displayed restriction.
GeoLocList.GeoLoc.GeoLocId	http://purl.obolibrary.org/obo/GAZ_00003937	spatialCoverage.identifier	Convert the URL to GAZ:00003937.
GeoLocList.GeoLoc.GeoLocName	contiguous United States of America	spatialCoverage.name	Create a typed AdministrativeArea object.
			
ASSIGNED OR DERIVED NDE VALUES			
Derived from tab key + exact OrganismId	iedb_epitopes_227984; iedb_antigens_227984; iedb_assays_227984; iedb_receptors_227984; iedb_references_227984	_id	Create one sibling record per non-empty tab for each exact eligible species or strain node.
Derived from tab key + exact OrganismId	IEDB:EPITOPES:227984; IEDB:ANTIGENS:227984; IEDB:ASSAYS:227984; IEDB:RECEPTORS:227984; IEDB:REFERENCES:227984	identifier	Keep the tab dimension in the public identifier. The raw OrganismId remains the grouping key and species provenance rather than the complete record identifier.
Assigned NDE record type	DataCollection	@type	One collection per exact eligible species/strain × non-empty IEDB results tab.
Assigned schema context	http://schema.org/	@context	Use the context string accepted by the current uploader mapping.
Derived tab-specific member counts	Epitopes 9310; Antigens 16; Assays 23706 across tcell/bcell/mhc views; Receptors 5 across tcr/bcr views; References 16	collectionSize	Illustrative exact-filter Query API counts for NCBITaxon:227984 on 2026-09-02. Recalculate from the target XML release; union and deduplicate the component views for combined tabs.
Assigned tab concepts	Epitope; Antigen; Immune epitope assay; Immune receptor; IEDB source reference	about	Emit one tab-appropriate DefinedTerm per collection. Keep the NCIT:C13189 and OBI:1110128 concept URLs; retain the full OBI identifier under measurementTechnique because top-level about.identifier is not indexed by the current NDE mapping. Review ontology identifiers for the other three concepts before assigning them.
Derived unique tab member keys	EpitopeId; source-antigen IRI; typed assay ID; receptor-group IRI; ReferenceId	hasPart	Emit members of the current tab only. Never copy all epitope members into each sibling tab record.
Derived organism, tab, and member count	IEDB antigen records whose curated source organism is SARS coronavirus Tor2...	description	Generate one plain-text, tab-specific description; never emit a list.
Derived organism and tab label	IEDB antigens from SARS coronavirus Tor2	name	Generate from OrganismName and the normalized tab label.
Derived exact NCBI taxon filter	https://query-api.iedb.org/epitope_search?source_organism_iris=cs.%7BNCBITaxon%3A227984%7D	url; includedInDataCatalog.archivedAt	Use each tab's exact-organism query where a single view exists. For combined tabs, use the stable IEDB results page as url and list each component query in isBasedOn. Use the database-export page for IEDB-only strains.
Assigned catalog object	IEDB; https://www.iedb.org/	includedInDataCatalog	Emit a typed DataCatalog with name, URL, versionDate, and archivedAt.
Assigned IEDB operator	La Jolla Institute for Immunology	author; creator	Emit typed Organization objects. Source-publication authors belong on citation objects.
Assigned IEDB resource identity	Immune Epitope Database and Analysis Resource	sourceOrganization	Emit a typed Organization with alternateName IEDB and parentOrganization La Jolla Institute for Immunology.
Assigned canonical publication	PMID 39558162; DOI 10.1093/nar/gkae1092	citation	Include the canonical IEDB ScholarlyArticle in every collection, followed by unique member-source articles.
Assigned IEDB funding statement	National Institute of Allergy and Infectious Diseases	funding	Emit a typed MonetaryGrant and typed Organization funder. Do not retain an expired contract identifier without confirming the active award.
Assigned assay umbrella	OBI:1110128 immune epitope assay	measurementTechnique	Required for the Assays collection. Include on another tab collection only when it meaningfully describes that tab's contents.
Assigned topics	EDAM topic_0804 Immunology; topic_3948 Immunoinformatics	topicCategory	Use reviewed EDAM topics only.
